region,year,date,actual,model,forecast
53,2016,2016-03-24,7.7625,FeedForwardNN,5.29025153144812
53,2016,2016-03-25,10.720833333333331,FeedForwardNN,4.960644243386593
53,2016,2016-03-26,10.435,FeedForwardNN,4.727257598350353
53,2016,2016-03-27,9.085,FeedForwardNN,4.477114318481133
53,2016,2016-03-28,9.6,FeedForwardNN,4.508825478717956
53,2016,2016-03-29,9.041666666666666,FeedForwardNN,4.896327860572422
53,2016,2016-03-30,8.1,FeedForwardNN,5.058857967284505
53,2016,2016-03-31,8.608333333333333,FeedForwardNN,5.268608693469901
53,2016,2016-04-01,7.5,FeedForwardNN,5.200469493757726
53,2016,2016-04-02,9.229166666666666,FeedForwardNN,5.425942645433135
53,2016,2016-04-03,10.133333333333336,FeedForwardNN,5.5874899133608
53,2016,2016-04-04,10.795454545454543,FeedForwardNN,6.105743410556652
53,2016,2016-04-05,9.945833333333333,FeedForwardNN,6.5863633593386695
53,2016,2016-04-06,9.741666666666667,FeedForwardNN,6.745328669339035
53,2016,2016-04-07,7.227777777777778,FeedForwardNN,7.05676782458538
53,2016,2016-04-08,8.941666666666666,FeedForwardNN,7.242353467642944
53,2016,2016-04-09,7.804545454545454,FeedForwardNN,7.278121894016925
53,2016,2016-04-10,9.39090909090909,FeedForwardNN,7.725215832761643
53,2016,2016-04-11,10.120833333333334,FeedForwardNN,8.32093083448218
53,2016,2016-04-12,10.63888888888889,FeedForwardNN,8.823749672984844
53,2016,2016-04-13,10.444444444444445,FeedForwardNN,9.213650372238925
53,2016,2016-04-14,10.208333333333334,FeedForwardNN,9.187373069281083
53,2016,2016-04-15,11.39090909090909,FeedForwardNN,9.010568883654763
53,2016,2016-04-16,8.9125,FeedForwardNN,8.514194044781513
53,2016,2016-04-17,6.954166666666667,FeedForwardNN,8.251804036935303
53,2016,2016-04-18,7.158333333333334,FeedForwardNN,8.093555528695862
53,2016,2016-04-19,10.409090909090908,FeedForwardNN,8.168355598894609
53,2016,2016-04-20,12.565,FeedForwardNN,8.541530916704923
53,2016,2016-04-21,14.28,FeedForwardNN,9.377429744625411
53,2016,2016-04-22,12.79090909090909,FeedForwardNN,9.643778833352847
53,2016,2016-04-23,9.00909090909091,FeedForwardNN,9.854128311738735
53,2016,2016-04-24,7.512499999999999,FeedForwardNN,9.912241452737211
53,2016,2016-04-25,7.181818181818182,FeedForwardNN,9.939898861450473
53,2016,2016-04-26,8.016666666666667,FeedForwardNN,10.244893900192672
53,2016,2016-04-27,6.779166666666666,FeedForwardNN,10.22243452441771
53,2016,2016-04-28,6.695833333333333,FeedForwardNN,10.116835095068915
53,2016,2016-04-29,8.377272727272727,FeedForwardNN,10.363715107709526
53,2016,2016-04-30,8.512500000000001,FeedForwardNN,10.500108952244217
53,2016,2016-05-01,7.954166666666667,FeedForwardNN,10.743546311402138
53,2016,2016-05-02,12.2625,FeedForwardNN,10.899790577796212
53,2016,2016-05-03,9.908333333333331,FeedForwardNN,11.030648011758737
53,2016,2016-05-04,11.766666666666666,FeedForwardNN,11.040083412949226
53,2016,2016-05-05,14.454166666666666,FeedForwardNN,11.016510077776612
53,2016,2016-05-06,14.7625,FeedForwardNN,11.037849915552286
53,2016,2016-05-07,15.254166666666668,FeedForwardNN,10.93070106760444
53,2016,2016-05-08,16.07,FeedForwardNN,11.037167280993973
53,2016,2016-05-09,14.745,FeedForwardNN,11.019815356327543
53,2016,2016-05-10,14.545000000000002,FeedForwardNN,11.0191484710416
53,2016,2016-05-11,13.62,FeedForwardNN,11.204711105394935
53,2016,2016-05-12,13.11818181818182,FeedForwardNN,11.407138779283006
53,2016,2016-05-13,13.9625,FeedForwardNN,11.590608861632939
53,2016,2016-05-14,12.9875,FeedForwardNN,11.894920137980609
53,2016,2016-05-15,10.4375,FeedForwardNN,12.20863380004001
53,2016,2016-05-16,12.47222222222222,FeedForwardNN,12.677380320068504
53,2016,2016-05-17,12.018181818181818,FeedForwardNN,12.582538353218045
53,2016,2016-05-18,12.78181818181818,FeedForwardNN,12.463290403231344
53,2016,2016-05-19,12.27727272727273,FeedForwardNN,12.291684229669547
53,2016,2016-05-20,14.875,FeedForwardNN,12.208677864527925
53,2016,2016-05-21,14.466666666666669,FeedForwardNN,12.358888208305595
53,2016,2016-05-22,11.595,FeedForwardNN,12.306950590110306
53,2016,2016-05-23,12.145454545454545,FeedForwardNN,12.409225336978082
53,2016,2016-05-24,12.666666666666666,FeedForwardNN,12.58608351933872
53,2016,2016-05-25,14.327272727272726,FeedForwardNN,12.352743722926084
53,2016,2016-05-26,14.022727272727272,FeedForwardNN,12.24128804724323
53,2016,2016-05-27,14.858333333333334,FeedForwardNN,12.391752636365146
53,2016,2016-05-28,15.563636363636364,FeedForwardNN,12.467417233855945
53,2016,2016-05-29,14.21818181818182,FeedForwardNN,12.004434901141682
53,2016,2016-05-30,14.958333333333334,FeedForwardNN,12.064990631717963
53,2016,2016-05-31,15.604166666666666,FeedForwardNN,12.35875941951117
53,2016,2016-06-01,14.7,FeedForwardNN,12.475074092022297
53,2016,2016-06-02,14.729166666666666,FeedForwardNN,12.664809444544042
53,2016,2016-06-03,13.9875,FeedForwardNN,12.967549890603319
53,2016,2016-06-04,14.729166666666666,FeedForwardNN,13.388837866499609
53,2016,2016-06-05,16.175,FeedForwardNN,13.843869622825492
53,2016,2016-06-06,17.494999999999997,FeedForwardNN,13.79068702090093
53,2016,2016-06-07,17.41,FeedForwardNN,13.730153850922305
53,2016,2016-06-08,17.29090909090909,FeedForwardNN,13.936109371920278
53,2016,2016-06-09,18.816666666666663,FeedForwardNN,14.432029934344635
53,2016,2016-06-10,15.264999999999995,FeedForwardNN,14.608972693148933
53,2016,2016-06-11,16.05,FeedForwardNN,14.960740683993025
53,2016,2016-06-12,16.495833333333334,FeedForwardNN,15.287585695971389
53,2016,2016-06-13,15.081818181818182,FeedForwardNN,15.10166587587381
53,2016,2016-06-14,13.229166666666666,FeedForwardNN,15.055980242304566
53,2016,2016-06-15,13.395,FeedForwardNN,15.08043563821664
53,2016,2016-06-16,14.21,FeedForwardNN,15.22079569079603
53,2016,2016-06-17,14.961111111111112,FeedForwardNN,15.397002189322057
53,2016,2016-06-18,15.11818181818182,FeedForwardNN,15.591365910157537
53,2016,2016-06-19,14.679166666666667,FeedForwardNN,15.53430010416561
53,2016,2016-06-20,16.016666666666666,FeedForwardNN,15.205971726862906
53,2016,2016-06-21,17.508333333333333,FeedForwardNN,15.346845520926186
53,2016,2016-06-22,20.244999999999997,FeedForwardNN,15.427022263010251
53,2016,2016-06-23,16.869999999999997,FeedForwardNN,15.137878282000457
53,2016,2016-06-24,15.104166666666666,FeedForwardNN,15.09881846105284
53,2016,2016-06-25,15.454166666666666,FeedForwardNN,15.136515552163328
53,2016,2016-06-26,14.904166666666669,FeedForwardNN,14.609367282830508
53,2016,2016-06-27,16.879166666666666,FeedForwardNN,14.877594936273779
53,2016,2016-06-28,15.945833333333333,FeedForwardNN,15.052827715698823
53,2016,2016-06-29,14.075,FeedForwardNN,15.403600762065825
53,2016,2016-06-30,16.668181818181818,FeedForwardNN,15.977745298634343
