region,year,mo_start,mo_end,yield_detrend,temp_index,strike,payoff,fair_premium,rev_without,rev_with_sd,rev_with_var,z_sd,z_var
52,2021,4,5,6.6607,696.48,791.3,0.0,25.9946,1065.71,1022.56,1013.15,1.6601,2.022
52,2022,4,5,6.6538,860.62,791.3,69.32,25.9946,1064.61,1136.53,1152.21,1.6601,2.022
52,2023,4,5,6.7869,822.71,791.3,31.41,25.9946,1085.9,1094.9,1096.86,1.6601,2.022
52,2024,4,5,4.8,811.78,791.3,20.48,25.9946,768.0,758.85,756.85,1.6601,2.022
53,2000,5,5,6.852,426.37,413.04,13.33,11.0567,1096.31,1097.89,1096.81,0.692,0.2202
53,2001,5,5,7.028,423.39,413.04,10.35,11.0567,1124.47,1123.99,1124.32,0.692,0.2202
53,2002,5,5,7.6042,404.44,413.04,0.0,11.0567,1216.67,1209.02,1214.23,0.692,0.2202
53,2003,5,5,7.2511,413.48,413.04,0.43,11.0567,1160.18,1152.83,1157.84,0.692,0.2202
53,2004,5,5,7.7201,407.9,413.04,0.0,11.0567,1235.22,1227.57,1232.79,0.692,0.2202
53,2005,5,5,7.3423,399.63,413.04,0.0,11.0567,1174.77,1167.12,1172.34,0.692,0.2202
53,2006,5,5,7.4439,410.9,413.04,0.0,11.0567,1191.02,1183.37,1188.59,0.692,0.2202
53,2007,5,5,5.8292,417.79,413.04,4.75,11.0567,932.67,928.31,931.28,0.692,0.2202
53,2008,5,5,7.455,460.65,413.04,47.61,11.0567,1192.8,1218.1,1200.85,0.692,0.2202
53,2009,5,5,7.7688,407.15,413.04,0.0,11.0567,1243.01,1235.36,1240.58,0.692,0.2202
53,2010,5,5,6.8908,383.2,413.04,0.0,11.0567,1102.52,1094.87,1100.09,0.692,0.2202
53,2011,5,5,7.1771,421.0,413.04,7.96,11.0567,1148.34,1146.2,1147.66,0.692,0.2202
53,2012,5,5,7.0635,411.23,413.04,0.0,11.0567,1130.16,1122.51,1127.73,0.692,0.2202
53,2013,5,5,7.6499,346.25,413.04,0.0,11.0567,1223.98,1216.33,1221.55,0.692,0.2202
53,2014,5,5,7.7363,396.84,413.04,0.0,11.0567,1237.8,1230.15,1235.37,0.692,0.2202
53,2015,5,5,8.0226,393.77,413.04,0.0,11.0567,1283.62,1275.97,1281.19,0.692,0.2202
53,2016,5,5,6.909,414.7,413.04,1.66,11.0567,1105.44,1098.94,1103.37,0.692,0.2202
53,2017,5,5,7.8053,446.85,413.04,33.81,11.0567,1248.85,1264.59,1253.86,0.692,0.2202
53,2018,5,5,6.9812,428.65,413.04,15.6,11.0567,1116.99,1120.14,1117.99,0.692,0.2202
53,2019,5,5,7.9481,389.93,413.04,0.0,11.0567,1271.7,1264.05,1269.27,0.692,0.2202
53,2020,5,5,6.8404,451.58,413.04,38.54,11.0567,1094.47,1113.49,1100.52,0.692,0.2202
53,2021,5,5,7.4735,356.35,413.04,0.0,11.0567,1195.75,1188.1,1193.32,0.692,0.2202
53,2022,5,5,7.4863,446.19,413.04,33.15,11.0567,1197.8,1213.09,1202.66,0.692,0.2202
53,2023,5,5,7.1936,435.69,413.04,22.65,11.0567,1150.98,1159.0,1153.53,0.692,0.2202
53,2024,5,5,6.523,432.11,413.04,19.07,11.0567,1043.68,1049.23,1045.44,0.692,0.2202
