model,region,oos_year,instrument,act_revenue,act_cCDD,K,N_sv,V_sv,act_payoff,hedged_revenue,revenue_change
XGB,24,2024,call,1008.0,237.81,186.7,0.00244,622.7431,1022.2,1008.97,0.97
XGB,27,2015,call,1088.0,806.22,539.2,0.04482,3732.8356,5340.4,1159.08,71.08
XGB,27,2016,call,800.0,630.8,545.4,0.03885,4353.7739,1708.0,696.23,-103.77
XGB,27,2017,call,1286.61,775.38,547.3,0.0284,3671.3237,4561.6,1311.29,24.68
XGB,27,2018,call,1040.0,751.13,498.2,0.03025,3167.1496,5058.6,1096.58,56.58
XGB,27,2019,call,1264.0,711.41,503.7,0.02867,3438.9753,4154.2,1283.85,19.85
XGB,27,2020,call,1344.0,257.25,148.9,0.0155,766.4476,2167.0,1365.66,21.66
XGB,27,2021,call,976.0,531.65,511.8,0.0261,3839.0174,397.0,885.49,-90.51
XGB,27,2022,call,1072.0,672.79,456.1,0.0178,3129.8209,4333.8,1093.11,21.11
XGB,27,2023,put,1040.0,27.65,39.3,0.00713,41.3467,233.0,1041.37,1.37
XGB,27,2024,put,848.0,67.27,39.1,0.03143,45.5426,0.0,846.56,-1.44
XGB,28,2015,call,1536.0,538.55,479.6,0.03683,1885.915,1179.0,1509.56,-26.44
XGB,28,2016,call,1040.0,510.95,480.8,0.037,2087.3563,603.0,984.63,-55.37
XGB,28,2017,call,1520.0,854.54,692.2,0.02999,2180.3248,3246.8,1551.55,31.55
XGB,28,2018,put,1376.0,70.76,29.7,0.00535,27.0767,0.0,1375.85,-0.15
XGB,28,2019,call,1568.0,820.71,700.0,0.01672,2442.9166,2414.2,1567.25,-0.75
XGB,28,2020,call,1344.0,801.23,702.5,0.00799,2545.4757,1974.6,1339.3,-4.7
XGB,28,2021,call,1248.0,72.93,114.0,0.01555,749.0585,0.0,1236.3,-11.7
XGB,28,2022,put,1568.0,46.95,31.6,0.02531,29.1409,0.0,1567.26,-0.74
XGB,28,2023,put,1424.0,41.95,31.9,0.03319,24.5026,0.0,1423.18,-0.82
XGB,28,2024,put,1200.0,47.77,24.7,-0.00952,39.3295,0.0,1200.37,0.38
XGB,32,2015,call,1584.0,180.19,137.9,0.08034,1388.2249,845.8,1539.87,-44.13
XGB,32,2016,put,944.0,274.87,206.3,0.14683,0.0483,0.0,943.99,-0.01
