NOM;ANNREF;FRANCE;FRDOM;REGION;DEP;N306;N306_MOD;N306_LIB;N027;N027_MOD;N027_LIB;VALEUR;QUALITE
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.12.1.12;Colza grain de printemps et navette;Groupe d'indicateurs;050.08;Superficie développée;3216;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.12.1.12;Colza grain de printemps et navette;Groupe d'indicateurs;070.01;Rendement;33.6;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.12.2;Tournesol;Groupe d'indicateurs;020.01;Production (volume);17162986;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.12.2;Tournesol;Groupe d'indicateurs;050.08;Superficie développée;723244;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.12.2;Tournesol;Groupe d'indicateurs;070.01;Rendement;23.7;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.12.3;Soja;Groupe d'indicateurs;020.01;Production (volume);1074918;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.12.3;Soja;Groupe d'indicateurs;050.08;Superficie développée;42824;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.12.3;Soja;Groupe d'indicateurs;070.01;Rendement;25.1;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.12.9;Autres oléagineux (lin, oeillette, ricin), n.c.a. niv. 1;Groupe d'indicateurs;020.01;Production (volume);304991;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.12.9;Autres oléagineux (lin, oeillette, ricin), n.c.a. niv. 1;Groupe d'indicateurs;050.08;Superficie développée;14649;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.12.9;Autres oléagineux (lin, oeillette, ricin), n.c.a. niv. 1;Groupe d'indicateurs;070.01;Rendement;20.8;OUI
SAANR_DEVELOPPE_2;2009;FR;...;...;...;Cultures développées;1.12.9.11;Lin oléagineux;Groupe d'indicateurs;020.01;Production (volume);208523;OUI
